Metadata_treatment	Metadata_dose	Metadata_Nuclei_Location_Center_X	Metadata_Nuclei_Location_Center_Y	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_ZSlice	UMAP0	UMAP1
Nilotinib	1	716.5057293561295	1092.9782648235723	NF0014	E6	2	ZS020	10.597502	3.4745338
DMSO	1	1165.665254237288	823.9523305084746	NF0014	F9	2	ZS046	11.045573	2.8938694
Staurosporine	10	937.8888888888889	610.7201426024956	NF0014	C2	2	ZS006	8.007006	4.170907
Digoxin	1	481.2721088435374	376.85714285714283	NF0014	D2	1	ZS026	11.865595	-0.388607
Trametinib	1	1091.393038617886	592.844512195122	NF0014	D10	1	ZS016	9.172207	2.084295
Trametinib	10	800.0863939899833	906.4661936560935	NF0014	F10	1	ZS048	12.996781	-0.22416744
DMSO	1	1129.1370967741937	880.8709677419355	NF0014	F9	1	ZS014	11.1960535	-0.64716876
Binimetinib	10	886.0035492457853	541.6638568470867	NF0014	D8	2	ZS032	10.77893	4.663627
DMSO	1	891.1296016137165	415.3474533535048	NF0014	F4	1	ZS042	12.829481	-0.013476238
DMSO	1	931.0018885741265	739.4966949952785	NF0014	E4	1	ZS048	10.743859	0.89794254
Mirdametinib	10	1181.0547337278106	919.5147928994082	NF0014	C9	1	ZS032	9.505112	1.425109
Nilotinib	1	653.9117647058823	295.87047511312215	NF0014	E6	1	ZS054	11.943315	2.2575932
Copanlisib	1	592.8905424867979	536.6471435429669	NF0014	D3	2	ZS014	10.736656	1.4018211
Nilotinib	1	771.365650597556	695.9703236202498	NF0014	E6	1	ZS054	12.305688	2.1938965
Nilotinib	1	1053.6443244387972	1007.3999364675984	NF0014	F6	2	ZS060	13.165449	1.287833
DMSO	1	820.9822134387351	956.905138339921	NF0014	E9	1	ZS038	12.802207	-0.08129124
Trametinib	1	651.4772993801307	490.4260345116435	NF0014	D10	2	ZS042	13.071457	2.524532
Binimetinib	10	495.4087660790853	671.1024297284421	NF0014	C8	1	ZS026	10.627117	4.485548
Staurosporine	10	905.527027027027	588.027027027027	NF0014	C2	2	ZS006	8.059657	4.1337233
Trametinib	1	1107.941863180014	721.4377772589306	NF0014	D10	1	ZS016	9.130953	1.5993576
DMSO	1	888.4286733238231	1282.0820256776035	NF0014	G9	2	ZS060	10.413454	3.4026334
DMSO	1	1320.4424733907754	621.7036661598243	NF0014	F9	2	ZS046	11.849925	2.8953543
Digoxin	1	743.6287878787879	569.8030303030303	NF0014	D2	2	ZS014	11.011631	-0.11788839
Selumetinib	1	513.923492349235	813.3253825382538	NF0014	G10	2	ZS038	12.973534	-0.11850416
DMSO	1	682.8574840764331	457.6329617834395	NF0014	D4	1	ZS058	12.619624	3.3772292
Nilotinib	1	1075.6030607364896	259.5185318029651	NF0014	F6	1	ZS044	11.016972	2.4268408
Digoxin	1	733.2581348053458	743.4219930273097	NF0014	D2	1	ZS026	10.012288	2.495428
Selumetinib	10	964.1185254316379	1218.2825478301447	NF0014	F11	2	ZS018	9.923441	1.7386118
DMSO	1	1237.4926470588234	773.3429144385027	NF0014	F9	2	ZS046	11.347179	3.1798217
Selumetinib	10	1003.9203980099503	1124.0079149706016	NF0014	F11	3	ZS028	9.984624	1.0607414
DMSO	1	605.887771179251	860.801963398376	NF0014	D9	2	ZS052	12.489963	3.5627573
Nilotinib	1	929.9975186104218	371.50372208436727	NF0014	E6	1	ZS054	12.146537	3.3396943
Digoxin	1	923.8688524590164	378.655737704918	NF0014	D2	1	ZS026	11.416063	-1.4077355
Selumetinib	1	517.9317730183263	872.024950320159	NF0014	G10	1	ZS054	12.576845	0.86441976
Nilotinib	1	832.9731576378721	806.7286481210347	NF0014	F6	2	ZS060	11.18241	0.83024746
DMSO	1	481.44454225352115	382.48342136150234	NF0014	E9	1	ZS038	11.212935	1.3972449
Digoxin	1	438.42323651452284	420.56016597510376	NF0014	D2	1	ZS026	10.659387	-0.8022827
DMSO	1	1118.7972027972028	919.7342657342657	NF0014	F9	1	ZS014	10.871832	-0.81796724
Mirdametinib	1	958.4154966198648	674.1619864794592	NF0014	E8	1	ZS030	10.041089	0.36597112
DMSO	1	633.7074983111912	1179.5212789912182	NF0014	D9	2	ZS052	11.294701	3.377511
Linsitinib	1	503.34	638.72	NF0014	F3	1	ZS042	11.139671	-1.3744743
DMSO	1	844.230790620076	1162.6699416071924	NF0014	F4	2	ZS060	10.777202	1.7197717
Selumetinib	10	1180.8067236734216	930.5486704931475	NF0014	F11	1	ZS056	11.221342	2.144909
Binimetinib	1	990.8124253285544	931.2771804062127	NF0014	G7	2	ZS016	8.984862	-1.0561829
DMSO	1	480.4576762149984	1016.1068554876086	NF0014	D9	2	ZS052	12.047178	3.950681
Trametinib	1	914.3579782790309	591.7226399331662	NF0014	D10	2	ZS042	9.659128	-0.4302895
Mirdametinib	1	538.8981967587309	175.12554211367268	NF0014	E8	2	ZS064	11.287636	2.1516845
Imatinib	1	1070.555917480999	627.3906985161057	NF0014	D6	1	ZS046	11.6515	1.6137598
DMSO	1	781.1670918367347	542.7283163265306	NF0014	F4	2	ZS060	11.973207	3.379329
Digoxin	1	970.5853658536586	801.609756097561	NF0014	D2	1	ZS026	12.058551	-1.2074348
Ketotifen	1	440.93829162022496	616.6053298206505	NF0014	C7	1	ZS024	12.325799	1.7569911
Onalespib	1	845.6743687470224	663.5055979037637	NF0014	C3	2	ZS016	10.238354	1.462072
Rapamycin	1	996.239010989011	63.9023199023199	NF0014	F5	2	ZS038	13.029655	0.8302798
Selumetinib	10	997.5737175792507	1084.9021325648414	NF0014	E11	2	ZS026	10.36727	1.6020418
Ketotifen	1	446.86150775372334	467.55903577460464	NF0014	C7	1	ZS024	12.264317	1.7491053
Imatinib	1	846.8547807332855	620.609633357297	NF0014	C6	1	ZS034	8.921769	0.0070214123
DMSO	1	538.188524590164	967.8210382513661	NF0014	D9	2	ZS052	13.302862	3.0102854
Copanlisib	1	838.8500130992926	998.3921928215876	NF0014	E3	2	ZS030	10.68835	5.2544956
Digoxin	1	909.0129701686122	556.3112840466927	NF0014	D2	2	ZS014	9.18952	0.67915404
Ketotifen	1	1035.6730283911672	451.4709779179811	NF0014	C7	1	ZS024	12.158237	1.9806927
Linsitinib	1	530.3856924344041	595.9374044005177	NF0014	G3	1	ZS044	8.612345	1.5718646
Imatinib	1	772.4543448050356	682.7406196354124	NF0014	D6	1	ZS046	12.221309	3.0097682
DMSO	1	842.9477252843394	815.2255030621172	NF0014	F9	2	ZS046	10.631402	1.7991484
DMSO	1	734.8294646199926	1125.986896293523	NF0014	D9	1	ZS048	13.795304	1.3785324
Digoxin	1	682.8216783216783	768.0804195804196	NF0014	E2	1	ZS024	11.245903	0.66801685
Mirdametinib	1	834.8948212853195	779.3663428113023	NF0014	F8	2	ZS046	14.359955	1.9440817
Linsitinib	1	781.3961627014581	948.2237912509594	NF0014	F3	1	ZS042	11.387301	1.7319039
Trametinib	1	784.9946149703824	192.63489499192247	NF0014	D10	2	ZS042	13.150461	-0.33464673
DMSO	1	915.996752895335	1127.3405130425372	NF0014	E4	1	ZS048	12.232125	2.7945554
Onalespib	1	876.0882352941177	886.9705882352941	NF0014	F2	2	ZS014	11.39735	-1.2617385
Fimepinostat	1	359.64864864864865	254.38738738738738	NF0014	D5	2	ZS016	12.645097	-0.92830807
Trametinib	10	1060.2140133460439	403.68469971401333	NF0014	F10	2	ZS046	11.339951	3.672401
Nilotinib	1	977.0112054729889	497.1558150507195	NF0014	E6	1	ZS054	12.3161335	2.9787095
Linsitinib	1	738.2986376021798	717.5792915531335	NF0014	G3	2	ZS038	13.366979	3.3381279
Everolimus	1	708.1155145929339	304.6095238095238	NF0014	G4	2	ZS036	9.165902	2.0776854
Ketotifen	1	959.6620762711865	174.41207627118644	NF0014	G6	1	ZS018	8.685207	0.11140792
Staurosporine	10	917.3615131578947	611.8621710526315	NF0014	G11	1	ZS018	9.81194	3.0904558
DMSO	1	617.2880915850349	1146.4300719933908	NF0014	G9	2	ZS060	13.943676	2.6904378
DMSO	1	898.575575221239	1046.8058997050148	NF0014	G9	2	ZS060	13.989577	2.900341
Ketotifen	1	560.2635983263598	1087.32269874477	NF0014	G6	2	ZS024	8.878287	-0.8142504
DMSO	1	903.7939319055464	1086.0210049423395	NF0014	D4	1	ZS058	11.782191	2.353033
Ketotifen	1	618.2148556231003	873.0450227963526	NF0014	C7	1	ZS024	12.286166	1.7990636
Selumetinib	10	975.7850287907869	1296.539667306462	NF0014	E11	2	ZS026	10.028826	0.9720018
Nilotinib	1	975.7259126271694	996.0888689407541	NF0014	F6	2	ZS060	9.743518	-0.10686654
Copanlisib	1	701.1096774193549	652.1096774193549	NF0014	D3	2	ZS014	10.622919	-0.050780747
DMSO	1	966.8972048972049	1052.2439362439363	NF0014	E4	2	ZS038	11.740725	1.5085093
Cabozantinib	1	943.8428378985182	544.5666816344858	NF0014	D7	1	ZS046	13.191154	-0.5402805
DMSO	1	875.0107561929595	872.4841916558019	NF0014	D9	3	ZS050	14.119232	1.8112795
DMSO	1	636.0726495726495	511.2521367521368	NF0014	F9	1	ZS014	12.981188	4.190348
Nilotinib	1	1330.4937167713872	425.40188496858383	NF0014	F6	1	ZS044	11.141739	3.0399995
Ketotifen	1	216.50653556969345	538.6813186813187	NF0014	C7	1	ZS024	12.003163	1.4583349
Nilotinib	1	1083.6211524434718	421.9061998541211	NF0014	F6	2	ZS060	10.531041	3.1578496
DMSO	1	522.4837696335079	815.0	NF0014	D9	2	ZS052	9.826927	0.5717536
Staurosporine	10	1072.0441801189465	1257.567544604928	NF0014	C2	1	ZS006	9.262298	1.0718355
Onalespib	1	916.5307872174591	895.0101325019485	NF0014	C3	2	ZS016	9.745965	0.8858801
DMSO	1	457.018077075884	1269.323599523242	NF0014	C4	1	ZS044	11.789958	2.2938375
DMSO	1	865.8536266349583	900.5739595719382	NF0014	C4	1	ZS044	12.07361	2.2107213
Selumetinib	1	885.2729636048526	697.6958405545927	NF0014	D11	2	ZS060	12.046716	2.4092197
Onalespib	1	599.1253140703518	566.5775753768844	NF0014	C3	1	ZS032	8.839132	-0.25873423
Imatinib	1	480.13258699757216	439.1891016994875	NF0014	D6	2	ZS030	10.619206	2.9476898
Selumetinib	1	935.2670726402783	755.8595041322315	NF0014	G10	3	ZS038	11.8057575	3.7503054
Selumetinib	1	679.7415856394914	266.6720269259536	NF0014	D11	2	ZS060	10.16468	3.910234
Cabozantinib	1	707.9789549033643	443.388403722262	NF0014	E7	1	ZS012	9.8917	2.7825615
Selumetinib	10	1047.558748403576	1166.6289910600256	NF0014	E11	2	ZS026	9.998409	-0.28121877
DMSO	1	730.1154115178364	906.6171601771974	NF0014	G9	2	ZS060	11.993454	3.755889
Trametinib	10	881.8799546998868	915.2491506228765	NF0014	E10	2	ZS012	9.570769	1.7778559
Everolimus	1	871.3256109620003	463.3456702924142	NF0014	G4	2	ZS036	14.130415	1.8029046
Copanlisib	1	806.8337320574162	622.6226076555024	NF0014	D3	2	ZS014	8.984869	-0.47600314
DMSO	1	819.9483399734396	561.3770252324038	NF0014	D4	1	ZS058	14.222779	2.421656
DMSO	1	584.0100558659218	840.5936685288641	NF0014	E4	1	ZS048	11.725217	0.5348298
Nilotinib	1	708.7244363929146	383.9651771336554	NF0014	F6	1	ZS044	11.044476	2.676925
Ketotifen	1	253.74528301886792	1103.1415094339623	NF0014	C7	1	ZS024	11.358133	-1.3325136
Imatinib	1	963.2855879752432	948.1286472148541	NF0014	D6	1	ZS046	11.162453	0.7619119
Selumetinib	1	753.4944275582574	859.0916919959474	NF0014	G10	1	ZS054	12.381653	0.6352642
Binimetinib	10	980.1144578313254	999.6927710843373	NF0014	C8	2	ZS030	10.457553	-0.20784545
Linsitinib	1	593.1573498964804	1133.7142857142858	NF0014	G3	1	ZS044	8.87118	-0.46403232
DMSO	1	797.6477627471384	652.2814776274714	NF0014	D9	3	ZS050	13.888211	2.6409454
Nilotinib	1	626.4834008097166	513.4787449392712	NF0014	F6	1	ZS044	11.601479	3.3853428
Linsitinib	1	944.4128662035639	640.5772676935468	NF0014	G3	2	ZS038	12.997474	3.375657
DMSO	1	820.1542056074767	135.10280373831776	NF0014	D9	3	ZS050	12.946277	-0.7656813
Selumetinib	1	659.9659168370824	1414.1383776414452	NF0014	D11	2	ZS060	14.134515	2.3163536
Everolimus	1	766.2287205567452	420.2742237687366	NF0014	G4	2	ZS036	14.042787	1.983321
DMSO	1	784.6337190784584	996.2988639983013	NF0014	F4	2	ZS060	13.426146	1.5982164
Imatinib	1	804.7749401436553	587.706304868316	NF0014	C6	2	ZS054	10.9137745	2.6048098
DMSO	1	859.3736946090884	1260.0398673440586	NF0014	F9	1	ZS014	10.229995	4.3935647
DMSO	1	629.1927162367223	939.5311077389985	NF0014	F9	2	ZS046	12.090815	3.2627187
Everolimus	1	959.5165297535564	535.0026046884392	NF0014	G4	2	ZS036	10.684025	3.146346
Digoxin	1	527.9782608695652	413.3804347826087	NF0014	D2	1	ZS026	10.756607	-0.84652925
Nilotinib	1	1060.4907014352132	515.7972508591065	NF0014	F6	1	ZS044	13.402679	1.5643152
Trametinib	1	318.4849694067571	625.0869912210694	NF0014	D10	2	ZS042	13.155831	-0.1021878
DMSO	1	600.8983447283196	1017.4746311622886	NF0014	F9	2	ZS046	10.897291	1.8061862
Onalespib	1	1161.4390459363958	608.7155477031802	NF0014	F2	1	ZS016	9.041381	-0.005361866
DMSO	1	1059.7743605837125	1117.4024792091636	NF0014	E4	1	ZS048	10.728095	2.2799168
Mirdametinib	10	763.6248506571087	827.0546594982079	NF0014	C9	2	ZS030	11.254322	5.553246
Ketotifen	1	546.3597122302158	1006.8350119904077	NF0014	G6	2	ZS024	8.9831705	-0.3618871
Binimetinib	10	876.7725803384674	653.1135196805476	NF0014	D8	1	ZS034	10.626981	2.9415128
DMSO	1	273.7009122177359	852.3100044863168	NF0014	D9	1	ZS048	10.058344	2.3392253
Binimetinib	10	702.0181895093062	648.3468697123519	NF0014	D8	2	ZS032	10.70722	5.1199408
Fimepinostat	1	587.0	785.4913793103449	NF0014	D5	2	ZS016	11.962486	-1.0860426
Everolimus	1	1117.0703583061888	631.4521172638437	NF0014	C5	1	ZS052	13.520997	2.8500772
Selumetinib	10	998.9584097859328	1063.8611620795107	NF0014	F11	3	ZS028	9.891204	1.1246277
Everolimus	1	895.699481865285	558.0	NF0014	C5	1	ZS052	13.320342	2.2500448
DMSO	1	509.778972520908	1066.3620071684588	NF0014	D9	1	ZS048	9.649542	0.16739492
Ketotifen	1	506.4020618556701	321.7628865979381	NF0014	C7	1	ZS024	10.602114	-1.0744014
Rapamycin	1	1021.2099125364432	757.6192905733722	NF0014	G5	2	ZS030	11.690314	2.9014864
Binimetinib	1	714.7478481012658	789.5797468354431	NF0014	F7	2	ZS040	11.566467	3.853439
Onalespib	1	1074.1161094224924	920.829179331307	NF0014	F2	2	ZS014	8.926263	1.059803
DMSO	1	949.0338983050848	477.53907721280603	NF0014	C4	1	ZS044	12.614487	0.43162188
Staurosporine	10	838.6394984326018	525.9937304075235	NF0014	C11	2	ZS024	9.848279	0.69163775
Mirdametinib	1	763.2631466893762	807.7070470513094	NF0014	F8	2	ZS046	14.316287	2.8150606
Ketotifen	1	946.4048426150121	921.0987893462469	NF0014	G6	2	ZS024	10.33848	1.502484
Trametinib	1	287.37542292597107	1216.7304100690214	NF0014	D10	2	ZS042	12.805216	4.2378373
Copanlisib	1	561.0410958904109	628.6186012977649	NF0014	D3	2	ZS014	11.001771	1.7048934
DMSO	1	642.743735523268	916.3794483049063	NF0014	C4	1	ZS044	13.325151	2.4924312
Nilotinib	1	760.789597232518	1130.9372374598468	NF0014	F6	2	ZS060	11.311132	1.5013043
DMSO	1	839.8240930132415	862.872106792981	NF0014	D9	1	ZS048	14.301186	1.9530613
Trametinib	10	1026.9001710464936	545.3660394961903	NF0014	F10	2	ZS046	11.379232	3.8709297
Mirdametinib	10	743.0422873618453	715.7909658817877	NF0014	G8	1	ZS040	14.0541115	1.1963843
DMSO	1	967.2485007496252	768.2522488755623	NF0014	D9	3	ZS050	13.900956	2.9139297
Selumetinib	1	496.37362273216803	952.8754867036699	NF0014	G10	1	ZS054	11.03828	1.8599808
Trametinib	10	639.6017009213324	530.6987951807229	NF0014	F10	1	ZS048	8.462062	3.185651
Rapamycin	1	1041.6044191019243	700.9474934663816	NF0014	G5	1	ZS022	10.218856	1.8243351
DMSO	1	911.5384786476868	1159.3645462633451	NF0014	D9	1	ZS048	13.313579	3.0663385
Imatinib	1	1161.9926229508196	663.4649590163934	NF0014	C6	1	ZS034	8.84603	1.7565135
Linsitinib	1	537.6060271553151	708.8336460978032	NF0014	F3	1	ZS042	12.128806	2.5181768
Fimepinostat	1	920.4025719876992	886.0352250489237	NF0014	D5	2	ZS016	12.006941	0.06025025
Linsitinib	1	630.0750394944707	1135.8041074249604	NF0014	G3	1	ZS044	9.072265	-1.0471388
Selumetinib	1	822.6776315789474	685.1043233082706	NF0014	D11	1	ZS048	8.083133	3.7852526
Selumetinib	10	1069.7096774193549	1215.6989247311828	NF0014	E11	2	ZS026	10.0275545	-0.34426674
Digoxin	1	1401.4526315789474	743.578947368421	NF0014	E2	1	ZS024	11.439023	-0.91881734
Onalespib	1	230.28235294117647	1443.3294117647058	NF0014	F2	1	ZS016	11.399518	-0.7385254
Binimetinib	1	1017.1630390143737	942.8472279260781	NF0014	G7	2	ZS016	8.689492	-0.6051359
DMSO	1	1074.1262315270935	667.5841543513957	NF0014	D4	2	ZS016	12.854739	4.27439
Cabozantinib	1	450.45860145860144	864.2659802659803	NF0014	D7	2	ZS022	9.345491	0.51671463
DMSO	1	1042.0752670226968	631.8871829105474	NF0014	F9	1	ZS014	9.210882	1.3701621
Digoxin	1	900.8441558441558	778.0649350649351	NF0014	D2	1	ZS026	11.531322	-0.45277306
Imatinib	1	833.9290016660259	1173.7029347686787	NF0014	D6	1	ZS046	11.79995	2.898733
Linsitinib	1	386.9522184300341	369.1986348122867	NF0014	F3	1	ZS042	11.582791	0.6009605
Staurosporine	10	864.6890973794889	821.9896473633129	NF0014	G11	1	ZS018	9.176682	1.7882233
Trametinib	10	849.4774247491639	1178.8152173913043	NF0014	F10	1	ZS048	8.240637	3.3595645
Trametinib	1	321.3081494057725	1279.733234295416	NF0014	D10	2	ZS042	12.822936	4.2808814
Nilotinib	1	500.0375267598539	570.6458884271502	NF0014	E6	1	ZS054	11.35323	2.1907482
Linsitinib	1	707.6304347826087	1056.5	NF0014	G3	1	ZS044	11.451095	-1.3699976
DMSO	1	468.62657899290537	752.1722616369614	NF0014	F4	1	ZS042	11.400363	2.229323
Trametinib	10	760.3161647024589	1279.6288374799942	NF0014	F10	1	ZS048	7.985835	3.5996215
Trametinib	1	529.076679005817	423.25771196897585	NF0014	D10	1	ZS016	9.279893	1.583124
DMSO	1	723.8366632070577	1390.6410223144785	NF0014	C4	1	ZS044	11.780523	2.7131853
Rapamycin	1	853.7014577259475	722.1896987366375	NF0014	F5	1	ZS042	10.382784	2.65007
DMSO	1	975.9594594594595	1230.0945945945946	NF0014	D9	1	ZS048	12.917952	4.2698054
Selumetinib	1	554.7899556868538	85.57902511078287	NF0014	D11	1	ZS048	7.971538	3.5206184
Ketotifen	1	870.5418336271838	364.7224715499279	NF0014	C7	1	ZS024	12.125089	1.9376787
Mirdametinib	1	929.4719387755102	604.5580151415405	NF0014	F8	2	ZS046	10.587057	3.588819
Trametinib	10	481.80873956960914	1293.187307861221	NF0014	F10	1	ZS048	8.142362	3.840502
Fimepinostat	1	1050.5725388601036	1137.231865284974	NF0014	D5	2	ZS016	12.004273	-0.2824608
Selumetinib	1	460.4298111281266	1359.569167942828	NF0014	D11	2	ZS060	12.036512	3.653082
Cabozantinib	1	591.3416125334352	793.8737103553688	NF0014	D7	1	ZS046	11.816915	3.440428
Selumetinib	10	416.1378896882494	587.4604316546763	NF0014	F11	3	ZS028	11.26478	1.5632267
Selumetinib	1	950.6376599634369	893.4168190127971	NF0014	G10	1	ZS054	11.272241	2.6564693
Staurosporine	10	1037.8290138000673	736.9003702457085	NF0014	G2	1	ZS030	9.020472	0.2518049
DMSO	1	796.4502624343914	460.24693826543364	NF0014	D9	1	ZS048	13.55371	1.2853845
Mirdametinib	1	608.3766297662977	1337.010086100861	NF0014	F8	1	ZS022	10.202314	0.72047985
Mirdametinib	1	597.9896485971125	1198.902206483247	NF0014	E8	2	ZS064	11.046807	1.4811083
Digoxin	1	719.347268754552	965.671085214858	NF0014	E2	2	ZS016	10.211744	4.570928
Selumetinib	1	895.9080295758205	817.1989881956155	NF0014	D11	1	ZS048	8.53832	4.352473
Binimetinib	1	997.5294030950627	815.5351510685335	NF0014	F7	2	ZS040	9.214677	1.9564594
Staurosporine	10	801.8062222222222	703.2817777777777	NF0014	G2	1	ZS030	9.467488	0.46150106
Selumetinib	10	514.434375	176.23359375	NF0014	F11	1	ZS056	12.546796	0.44989142
Linsitinib	1	737.8004143646409	805.1091160220994	NF0014	F3	1	ZS042	9.920399	-0.054736596
Mirdametinib	10	990.0710441334769	728.886975242196	NF0014	C9	1	ZS032	10.776123	4.9048433
Onalespib	1	989.2241635687732	517.9332713754646	NF0014	F2	1	ZS016	10.6022	1.5183382
Fimepinostat	1	1105.516304347826	1084.641304347826	NF0014	D5	2	ZS016	12.887255	-1.1189785
Binimetinib	10	977.4901612664595	523.6690338807516	NF0014	D8	1	ZS034	10.455254	3.0634077
Imatinib	1	811.5615067686874	1032.9014125956444	NF0014	D6	1	ZS046	11.56737	1.7953284
Ketotifen	1	840.9476744186046	284.0348837209302	NF0014	G6	2	ZS024	10.387846	4.7283587
Binimetinib	10	689.6342692584593	526.548740100792	NF0014	D8	2	ZS032	10.693597	5.114918
Staurosporine	10	879.83119513842	586.970290344362	NF0014	C2	2	ZS006	8.230824	4.1745687
DMSO	1	910.5694551036071	1190.5471987720646	NF0014	F4	3	ZS042	11.440364	1.4680737
Digoxin	1	950.9939577039275	778.2779456193354	NF0014	D2	2	ZS014	10.823216	0.41161695
Ketotifen	1	521.1842010771993	1256.843447037702	NF0014	G6	2	ZS024	8.950167	-0.5327541
DMSO	1	920.8832552882286	774.0637816890037	NF0014	D4	2	ZS016	12.770498	4.1557717
Trametinib	10	841.230760137132	522.9765929778933	NF0014	F10	2	ZS046	13.652633	1.9533182
Nilotinib	1	802.537372147915	517.0747442958301	NF0014	F6	2	ZS060	11.6097145	3.1681688
DMSO	1	751.7669514148425	350.01735184196474	NF0014	E9	1	ZS038	11.379378	2.2416618
DMSO	1	729.9066493393979	887.6464154212692	NF0014	C4	1	ZS044	11.464489	3.0252993
Ketotifen	1	1266.9366526791478	794.0065364751453	NF0014	C7	1	ZS024	12.236801	1.6067154
Linsitinib	1	626.6432358842075	764.1494697621094	NF0014	F3	1	ZS042	11.518656	3.0013995
Onalespib	1	147.21829521829522	1151.2931392931393	NF0014	F2	1	ZS016	10.119673	-0.5855872
Mirdametinib	10	1061.5272727272727	851.1012987012987	NF0014	C9	1	ZS032	9.745048	0.2402927
Rapamycin	1	916.9655636265805	792.457627118644	NF0014	F5	1	ZS042	10.729065	1.978238
DMSO	1	926.0819819819819	912.2351351351351	NF0014	D9	3	ZS050	11.528684	3.3858314
Mirdametinib	1	557.3107756376887	476.93440916189485	NF0014	E8	2	ZS064	13.53107	1.5241498
Selumetinib	10	1047.2767895878526	1181.5444685466377	NF0014	F11	3	ZS028	9.244952	1.2513567
Fimepinostat	1	637.9620535714286	707.5245535714286	NF0014	D5	2	ZS016	11.283718	-0.18508485
DMSO	1	1018.3761493069851	861.1925346507479	NF0014	E4	1	ZS048	11.926154	1.6825248
Selumetinib	10	870.9299979826508	1082.069195077668	NF0014	E11	2	ZS026	10.1145115	1.7613761
DMSO	1	810.9710739221988	1177.3555358528206	NF0014	F4	3	ZS042	11.700431	2.7698336
DMSO	1	723.5992033383915	877.1948027314112	NF0014	F9	2	ZS046	11.335103	2.4604058
DMSO	1	515.1751886001676	1006.3447890472199	NF0014	G9	2	ZS060	10.923276	3.2488246
Ketotifen	1	673.0820987654321	938.4604938271605	NF0014	G6	2	ZS024	8.828901	-0.40592065
DMSO	1	611.8839019542895	1242.2100033123552	NF0014	C4	1	ZS044	13.779481	2.1680977
Onalespib	1	903.2106149957878	924.4633529907329	NF0014	C3	2	ZS016	8.848691	0.8392696
Rapamycin	1	850.7198139141467	834.1956016071051	NF0014	F5	2	ZS038	10.9708395	2.6361537
Cabozantinib	1	477.29710057018076	420.7599175057625	NF0014	D7	1	ZS046	10.124175	2.298492
Rapamycin	1	901.5746268656717	987.1417910447761	NF0014	F5	2	ZS038	13.1108265	2.9395225
Mirdametinib	1	758.4402378592666	575.8874132804757	NF0014	E8	2	ZS064	11.155135	2.4856455
Cabozantinib	1	688.9973333333334	384.62533333333334	NF0014	D7	1	ZS046	13.067113	-0.14810033
Onalespib	1	547.1765470618825	540.3382735309413	NF0014	C3	1	ZS032	9.136688	-0.7319567
Digoxin	1	589.4293948126801	933.9971181556195	NF0014	D2	1	ZS026	10.5244875	-0.45257774
Ketotifen	1	830.0508474576271	259.819209039548	NF0014	G6	2	ZS024	10.037646	-0.7770065
Binimetinib	10	820.3651162790698	713.0872093023256	NF0014	C8	2	ZS030	9.540282	-1.2101316
Staurosporine	10	836.923595505618	879.6921348314606	NF0014	C2	1	ZS006	9.055195	0.9941875
DMSO	1	1020.1921824104235	1145.0003619254433	NF0014	G9	2	ZS060	10.739644	2.0134869
Selumetinib	1	1062.0924867724868	1169.550052910053	NF0014	D11	2	ZS060	10.903978	3.7350614
Nilotinib	1	908.2440087145969	431.5588671023965	NF0014	E6	1	ZS054	12.801756	3.1254659
DMSO	1	948.4011821204285	468.23888683659646	NF0014	D4	1	ZS058	12.228454	2.37641
Rapamycin	1	977.1778174732056	795.0649561545956	NF0014	F5	2	ZS038	13.653483	1.7952237
Linsitinib	1	836.7370192307692	779.9899038461539	NF0014	G3	1	ZS044	9.684955	1.3935051
DMSO	1	935.0684194801314	588.550492978787	NF0014	F4	2	ZS060	11.577123	2.3442454
Onalespib	1	883.8763005780347	767.6520231213873	NF0014	C3	2	ZS016	8.676695	0.2782169
DMSO	1	885.7849247774025	635.1994166410808	NF0014	E4	2	ZS038	11.486271	1.2432472
Ketotifen	1	537.00826446281	516.0413223140496	NF0014	C7	1	ZS024	10.588901	-0.9103365
Staurosporine	10	307.0882352941176	537.4470588235295	NF0014	C11	1	ZS030	11.471434	-0.74035263
DMSO	1	604.9159663865546	1119.8403361344538	NF0014	F9	1	ZS014	10.745434	4.7317963
Nilotinib	1	878.3443761688485	623.3759016831418	NF0014	F6	2	ZS060	12.06123	2.8768184
Rapamycin	1	549.0438173893094	655.4131681578343	NF0014	F5	1	ZS042	10.945989	2.5870717
Rapamycin	1	845.5159292035398	742.8188790560472	NF0014	G5	2	ZS030	10.626104	3.1121368
Rapamycin	1	966.6091229371407	624.4275913220841	NF0014	G5	2	ZS030	10.371244	2.4867644
Binimetinib	1	751.2480053938644	959.6818743679065	NF0014	G7	1	ZS024	10.164441	2.0384314
Staurosporine	10	682.3592561284869	447.4885883347422	NF0014	C11	2	ZS024	9.904751	0.8542934
Digoxin	1	513.3698630136986	446.8493150684931	NF0014	D2	1	ZS026	11.23592	-1.0618354
Trametinib	1	582.3675213675214	1021.0316742081448	NF0014	C10	1	ZS044	10.933435	4.4908204
Onalespib	1	754.2098939929328	1010.3395759717314	NF0014	F2	2	ZS014	8.932554	0.017033637
DMSO	1	485.6613855234545	643.8578751164958	NF0014	F4	1	ZS042	11.8085	2.998401
DMSO	1	1180.1662003357583	783.3359447864204	NF0014	F9	1	ZS014	9.7847185	2.5518262
Binimetinib	1	723.7612956467918	513.3860119661647	NF0014	F7	2	ZS040	14.412841	2.458469
